name,image_id,cc,category
Cirl Bunting,325708721,Ben Lucking,lbb
Common Murre,443098371,Lukasz Ifczok,puffin_and_co
Eurasian Blue Tit,51883101,Bradley Hacker 🦜,tit
Common Redshank,311512471,Ben Lucking,hard_waders
Little Bunting,327726651,Ben Lucking,lbb
Eurasian Kestrel,368668751,Oscar Wainwright,small_raptors
Long-tailed Tit,483022741,Alexander Montero,tit
Barn Owl,306170191,Ben Lucking,owl
Crested Tit,612194226,Elizabeth Seddon,tit
European Stonechat,386811971,Oscar Wainwright,little_colourful_birds
Black-legged Kittiwake,443097911,Lukasz Ifczok,seabirds
Red-breasted Merganser,302505361,Ben Lucking,funky_ducks
Cirl Bunting,325708761,Ben Lucking,lbb
Cirl Bunting,325708691,Ben Lucking,lbb
Eurasian Moorhen,308540351,Ben Lucking,water_birds
White-throated Sparrow,328134311,Ben Lucking,lbb
Cirl Bunting,325709881,Ben Lucking,lbb
Cirl Bunting,325709871,Ben Lucking,lbb
Desert Wheatear,162001871,James Kennerley,mbb
Eared Grebe,347952551,Ben Lucking,water_birds
Common Pochard,462692491,Alexander Montero,ducks
Cirl Bunting,325708771,Ben Lucking,lbb
Common Cuckoo,326880221,Ben Lucking,cuckoos
White Wagtail,332193291,Ben Lucking,wagfantail
Rose-ringed Parakeet,273920551,Ben Lucking,parrots
Common Kingfisher,308559381,Ben Lucking,kingfishers
Great Crested Grebe,144916421,Pierre Montieth,water_birds
Common Grasshopper Warbler,226725401,Daniel Branch,lbb
Great Crested Grebe,144916411,Pierre Montieth,water_birds
Mute Swan,104367781,Andy Eckerson,geese
Common Merganser,310827791,Ben Lucking,funky_ducks
Barn Owl,309200031,Ben Lucking,owl
Great Cormorant,49406991,Bradley Hacker 🦜,cormorant
Little Egret,312077021,Ben Lucking,egrets
Peregrine Falcon,346873751,Oscar Wainwright,small_raptors
Eurasian Wren,379898441,Oscar Wainwright,lbb
Common Murre,44829881,Nigel Voaden,puffin_and_co
Great Skua,174175591,Ramit Singal,seabirds
European Stonechat,308945831,Ben Lucking,little_colourful_birds
Greater Whitethroat,333121331,Ben Lucking,mbb
Purple Sandpiper,614651549,Louis Backstrom,plovers
Eurasian Goshawk,175848971,Andy Butler,big_raptors
Olive-backed Pipit,332003841,Ben Lucking,mbb
Peregrine Falcon,381133771,Oscar Wainwright,small_raptors
Common Buzzard,62847421,Raphaël Nussbaumer,big_raptors
Common Redstart,247685761,Dominic Garcia-Hall,robins
Lesser Black-backed Gull,357582421,Oscar Wainwright,seabirds
Desert Wheatear,162000261,James Kennerley,mbb
Great Crested Grebe,144916431,Pierre Montieth,water_birds
Great Crested Grebe,301253331,Isaiah Rowe,water_birds
Tufted Duck,82855401,Drew Beamer,ducks
Meadow Pipit,373418531,Oscar Wainwright,mbb
Red-rumped Swallow,337915761,Ben Lucking,swallows
Eurasian Moorhen,308540251,Ben Lucking,water_birds
Cirl Bunting,325711141,Ben Lucking,lbb
Desert Wheatear,162000251,James Kennerley,mbb
Red-breasted Merganser,302505291,Ben Lucking,funky_ducks
Common Grasshopper Warbler,226725471,Daniel Branch,lbb
Bohemian Waxwing,183674381,Simon Mitchell,little_colourful_birds
Common Firecrest,497444961,James Kennerley,little_colourful_birds
European Goldfinch,90079171,James Taylor,finches
Arctic Tern,50322391,Angus Pritchard,seabirds
Barn Owl,309199991,Ben Lucking,owl
Black Guillemot,54444991,Alexander Lees,puffin_and_co
Common Murre,443098521,Lukasz Ifczok,puffin_and_co
Black-headed Gull,78199751,Dominic Garcia-Hall,seabirds
Cirl Bunting,325711081,Ben Lucking,lbb
Brant,314552461,Ben Lucking,geese
Dunlin,333854291,Ben Lucking,plovers
Red-billed Chough,439341001,Oscar Wainwright,black_white
Long-tailed Duck,306721001,Ben Lucking,ducks
Sanderling,239482161,Daniel Branch,plovers
Eared Grebe,348277011,Ben Lucking,water_birds
Desert Wheatear,162000241,James Kennerley,mbb
Stock Dove,103889961,Paul Lewis,pigeons_doves
Graylag Goose,389167941,Ged Tranter,geese
Lapland Longspur,261171981,James Kennerley,lbb
Mandarin Duck,87138011,Paul Lewis,ducks
Dartford Warbler,48034341,Nigel Voaden,lbb
Common Grasshopper Warbler,226725081,Daniel Branch,lbb
Eurasian Blue Tit,103220581,Andy Eckerson,tit
Velvet Scoter,129448731,Pierre Montieth,funky_ducks
Bearded Vulture,249175291,James Kennerley,big_raptors
Black Grouse,54593301,Nigel Voaden,quails
Common Gull,301253881,Isaiah Rowe,seabirds
Goldcrest,106968261,Suzie McCann,little_colourful_birds
Great Spotted Woodpecker,112095411,Dominic Garcia-Hall,woodpecker
Barn Owl,309200051,Ben Lucking,owl
Little Stint,241238131,Daniel Branch,hard_waders
Eurasian Sparrowhawk,72251391,Douglas Faulder,big_raptors
Yellowhammer,78557031,Nigel Voaden,little_colourful_birds
Razorbill,44829721,Nigel Voaden,puffin_and_co
Booted Warbler,180192091,Andy Butler,lbb
Eurasian Blackbird,169220291,Lewis Lawes,ground_mbb
Corn Crake,107001471,Suzie McCann,rail_crake
Tufted Duck,301253831,Isaiah Rowe,ducks
Atlantic Puffin,50322361,Angus Pritchard,puffin_and_co
Eurasian Oystercatcher,107005301,Suzie McCann,plovers
Ruddy Shelduck,21038851,Richard Dunn,ducks
Rock Pigeon,345309021,Oscar Wainwright,pigeons_doves
Eurasian Jackdaw,312833531,Ben Lucking,black_white
Red Crossbill,51882961,Bradley Hacker 🦜,little_colourful_birds
Common Firecrest,143716871,Ric Else,little_colourful_birds
Mute Swan,176900691,Cristina Baccino,geese
Black-throated Thrush,204950091,Richard Tyler,ground_mbb
Eurasian Linnet,325707641,Ben Lucking,lbb
Little Egret,312077111,Ben Lucking,egrets
Redwing,90081801,Khemthong Tonsakulrungruang,ground_mbb
Ruff,255722841,Daniel Field,colourful_waders
Sanderling,332606761,Ben Lucking,plovers
Great Spotted Woodpecker,79904931,Ben Hall Photography,woodpecker
Northern Wheatear,228186891,Bethan Clyne,mbb
Eurasian Moorhen,308540331,Ben Lucking,water_birds
Parrot Crossbill,109632511,John George Richardson,parrots
Common Merganser,46776931,Nigel Voaden,funky_ducks
White-throated Dipper,44823921,Nigel Voaden,mbb
Snow Bunting,107004271,Suzie McCann,lbb
Gray Heron,107191301,Sean Sime,herons
Red Kite,529969271,Victor & Sophie,big_raptors
Black-headed Gull,179150811,Drew Weber,seabirds
Dunnock,51882821,Bradley Hacker 🦜,mbb
Common Merganser,78554841,Nigel Voaden,funky_ducks
Atlantic Puffin,174175721,Ramit Singal,puffin_and_co
Rock Ptarmigan,113345131,Caleb Putnam,quails
Black Grouse,330354661,Ben Lucking,quails
Red-crested Pochard,46654081,Paul Lewis,ducks
Black-throated Thrush,199418721,Dominic Mitchell,ground_mbb
Great Skua,174175401,Ramit Singal,seabirds
Long-eared Owl,114180661,Delia Walker,owl
Bearded Reedling,179351411,Joshua Brown,tit
Mute Swan,148970661,Bethan Clyne,geese
Rook,58569811,Stephen Altic,black_white
Eurasian Skylark,325707751,Ben Lucking,mbb
Willow Warbler,223464351,Daniel Branch,lbb
Reed Bunting,145788711,James Kennerley,lbb
Dunlin,333854161,Ben Lucking,plovers
Mandarin Duck,25706801,Serge Wolf,ducks
Northern Wheatear,231239531,Brian Small,mbb
Common Grasshopper Warbler,226725671,Daniel Branch,lbb
Eurasian Kestrel,368668731,Oscar Wainwright,small_raptors
Tawny Owl,293406911,James Lees,owl
Rock Pipit,614651631,Louis Backstrom,mbb
Eurasian Blackcap,429544801,Alan Wilkinson,lbb
Eurasian Kestrel,368668701,Oscar Wainwright,small_raptors
Eurasian Jay,241250451,John Higgins,robins
Long-eared Owl,310255441,Ben Lucking,owl
Atlantic Puffin,108896201,Terri Kershaw,puffin_and_co
Isabelline Wheatear,519997801,Simon Colenutt,mbb
Whimbrel,325919091,Oscar Wainwright,hard_waders
Little Bunting,404241951,Saad Towheed,lbb
Common Cuckoo,326880311,Ben Lucking,cuckoos
Brant,312539741,Ben Lucking,geese
Common Cuckoo,326880261,Ben Lucking,cuckoos
Northern Fulmar,113113951,Al Božič,seabirds
Bank Swallow,114206901,Caleb Putnam,swallows
Common Merganser,46776911,Nigel Voaden,funky_ducks
Cirl Bunting,325710771,Ben Lucking,lbb
Northern Wheatear,228186871,Bethan Clyne,mbb
Little Egret,312077071,Ben Lucking,egrets
Common Ringed Plover,113113211,Al Božič,plovers
Ruddy Turnstone,312077351,Ben Lucking,colourful_waders
Rock Pipit,113113551,Al Božič,mbb
Great Cormorant,387314711,Oscar Wainwright,cormorant
Eared Grebe,347305991,Ben Lucking,water_birds
White's Thrush,373604261,Daniel Gornall,ground_mbb
Great Skua,174175461,Ramit Singal,seabirds
Arctic Loon,107288361,Richard Fray,puffin_and_co
Snow Bunting,490282741,Daniel Branch,lbb
Twite,40041141,Paul Chapman,lbb
Marsh Tit,87426351,Alexander Lees,tit
Lesser Black-backed Gull,558574851,Elizabeth Seddon,seabirds
Eurasian Blue Tit,106996811,Suzie McCann,tit
Razorbill,44829701,Nigel Voaden,puffin_and_co
Western House-Martin,104155511,Khemthong Tonsakulrungruang,swallows
Red Kite,104479601,James Kennerley,big_raptors
Common Buzzard,87039801,Nigel Voaden,big_raptors
Eurasian Curlew,304576191,Ben Lucking,hard_waders
Common Grasshopper Warbler,226725271,Daniel Branch,lbb
Great Cormorant,130785001,Alexander Hagge,cormorant
Reed Bunting,78556991,Nigel Voaden,lbb
Sabine's Gull,549741441,James Kennerley,seabirds
Ring-necked Pheasant,418078691,Ian Sherriffs,walking_birds
Lesser Redpoll,307655191,Paul Wilson,lbb
Red-breasted Merganser,302505251,Ben Lucking,funky_ducks
European Robin,113112771,Al Božič,robins
Willow Ptarmigan,148087311,Thomas Gibson,quails
Eurasian Magpie,106681781,Matthew Brown,black_white
Eurasian Blue Tit,79903251,Ben Hall Photography,tit
Ruddy Turnstone,614651595,Louis Backstrom,colourful_waders
Common Cuckoo,326880091,Ben Lucking,cuckoos
House Sparrow,325707491,Ben Lucking,lbb
Barred Warbler,205391681,Adam Bowley,lbb
Common Murre,443098411,Lukasz Ifczok,puffin_and_co
Great Crested Grebe,216017771,Bob  Wood,water_birds
Eurasian Bullfinch,610549073,Aseem Kothiala,finches
Eurasian Kestrel,368668691,Oscar Wainwright,small_raptors
Spotted Flycatcher,177036021,Dominic Garcia-Hall,wagfantail
Northern Gannet,54946311,Angus Pritchard,seabirds
Red-throated Loon,262730201,Daniel Gornall,puffin_and_co
Velvet Scoter,129448591,Pierre Montieth,funky_ducks
Mediterranean Gull,45935251,Ric Else,seabirds
Rock Pigeon,345309041,Oscar Wainwright,pigeons_doves
Common Redshank,312541031,Ben Lucking,hard_waders
Pied Avocet,106383821,Charlene Fortner,colourful_waders
Common Buzzard,62847431,Raphaël Nussbaumer,big_raptors
Common Cuckoo,326880231,Ben Lucking,cuckoos
Willow Warbler,471438011,Ray Scally,lbb
Greater Whitethroat,333114231,Ben Lucking,mbb
Lanceolated Warbler,267811541,Simon Colenutt,lbb
European Golden-Plover,168058001,James Kennerley,plovers
Coal Tit,114035601,Dominic Garcia-Hall,tit
Barn Swallow,163210671,Dominic Garcia-Hall,swallows
Reed Bunting,513383871,Elizabeth Seddon,lbb
Lesser Redpoll,404203631,Ged Tranter,lbb
Rock Pipit,58124791,Mike Prince,mbb
Siberian Stonechat,192890701,Peter Kennerley,little_colourful_birds
Tufted Duck,104303001,Andy Eckerson,ducks
Parrot Crossbill,109633091,John George Richardson,parrots
Great Tit,313660031,Ben Lucking,tit
Eurasian Moorhen,144916641,Pierre Montieth,water_birds
Common Reed Warbler,67179281,Davey Walters,lbb
Black-browed Albatross,367662851,James Kennerley,seabirds
Brant,314552421,Ben Lucking,geese
Red Knot,275068451,Ben Lucking,hard_waders
Rock Pigeon,273920641,Ben Lucking,pigeons_doves
House Sparrow,49634991,Thomas Gibson,lbb
Common Cuckoo,326880351,Ben Lucking,cuckoos
Rock Pipit,614651632,Louis Backstrom,mbb
Jack Snipe,613340185,Daniel Branch,colourful_waders
Common Ringed Plover,610944798,Elizabeth Seddon,plovers
Alpine Accentor,498428061,James Kennerley,mbb
Eurasian Linnet,325710441,Ben Lucking,lbb
Jack Snipe,193503311,Alexander Hagge,colourful_waders
Pied Wheatear,104669181,James Kennerley,mbb
Little Egret,312077101,Ben Lucking,egrets
Little Egret,312077131,Ben Lucking,egrets
Arctic Warbler,259490951,Daniel Gornall,lbb
European Robin,267571031,Dominic Garcia-Hall,robins
Atlantic Puffin,174175571,Ramit Singal,puffin_and_co
Greater White-fronted Goose,331955211,Oscar Wainwright,geese
Twite,613654370,Elizabeth Seddon,lbb
Brant,312539651,Ben Lucking,geese
Great Tit,313660021,Ben Lucking,tit
Twite,39236571,Ric Else,lbb
Tawny Owl,152870171,Eric Barnes,owl
Great Cormorant,322201371,Bethan Clyne,cormorant
Peregrine Falcon,141636701,Khemthong Tonsakulrungruang,small_raptors
Mandarin Duck,413179961,Isaiah Rowe,ducks
Long-tailed Duck,308943681,Ben Lucking,ducks
Red-billed Chough,349997741,Thomas Gibson,black_white
Red Knot,613259084,Aseem Kothiala,hard_waders
Eurasian Curlew,610844228,Elizabeth Seddon,hard_waders
Bearded Reedling,492631961,Dmitriy Aronov,tit
Tawny Owl,458892361,Victor & Sophie,owl
European Stonechat,337895331,Ben Lucking,little_colourful_birds
Common Shelduck,335029891,Ben Lucking,ducks
Short-eared Owl,326875621,Ben Lucking,owl
Common Merganser,310827961,Ben Lucking,funky_ducks
Tawny Owl,297156711,Dominic Mitchell,owl
Eurasian Wryneck,284346251,Jonathan Farooqi,mbb
Northern Gannet,174323211,Ramit Singal,seabirds
Northern Fulmar,353753071,Oscar Wainwright,seabirds
Eurasian Treecreeper,72659741,Stephen Manaton,lbb
Great Tit,147492431,Steven McGrath,tit
Northern Waterthrush,613237588,Richard Bonser,ground_mbb
Olive-backed Pipit,331999691,Ben Lucking,mbb
Jack Snipe,613340184,Daniel Branch,colourful_waders
Jack Snipe,613340182,Daniel Branch,colourful_waders
Red-backed Shrike,608424298,David Wright,songbird
Brant,314552351,Ben Lucking,geese
Long-eared Owl,186858221,Joshua Brown,owl
Eurasian Blue Tit,104481631,Dominic Garcia-Hall,tit
Dartford Warbler,314555321,Ben Lucking,lbb
Purple Sandpiper,614651576,Louis Backstrom,plovers
Reed Bunting,59400211,Dominic Garcia-Hall,lbb
Rock Ptarmigan,113345111,Caleb Putnam,quails
Great Tit,313659981,Ben Lucking,tit
Common Grasshopper Warbler,226725231,Daniel Branch,lbb
Graylag Goose,139224461,Sean Fitzgerald,geese
Common Redshank,312540991,Ben Lucking,hard_waders
White Stork,329002161,Ben Lucking,egrets
